Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:26 2023,6m,50.0,-9.6
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:27 2023,6m,50.2,-12.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:28 2023,6m,50.4,-9.6
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:29 2023,6m,50.6,-12.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:30 2023,6m,50.8,-15.6
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:31 2023,6m,51.0,-12.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:32 2023,6m,51.2,-12.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:33 2023,6m,51.4,-9.6
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:34 2023,6m,51.6,-10.8
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:35 2023,6m,51.8,-6.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:36 2023,6m,52.0,-6.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:37 2023,6m,52.2,-9.6
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:38 2023,6m,52.4,-9.6
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:39 2023,6m,52.6,-6.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:40 2023,6m,52.8,-6.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:41 2023,6m,53.0,-6.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:42 2023,6m,53.2,-6.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:43 2023,6m,53.4,-6.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:44 2023,6m,53.6,-6.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:45 2023,6m,53.8,-6.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:46 2023,10m,28.0,-15.6
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:47 2023,10m,28.1,-33.6
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:48 2023,10m,28.2,-46.8
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:49 2023,10m,28.3,-54.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:50 2023,10m,28.4,-54.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:51 2023,10m,28.5,-54.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:52 2023,10m,28.6,-54.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:53 2023,10m,28.7,-54.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:54 2023,10m,28.8,-54.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:55 2023,10m,28.9,-54.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:56 2023,10m,29.0,-54.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:56 2023,10m,29.1,-54.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:57 2023,10m,29.2,-54.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:58 2023,10m,29.3,-54.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:20:59 2023,10m,29.4,-54.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:21:00 2023,10m,29.5,-54.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:21:01 2023,10m,29.6,-54.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:21:02 2023,15m,21.0,-6.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:21:03 2023,15m,21.1,-6.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:21:04 2023,15m,21.2,-6.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:21:05 2023,15m,21.3,-9.6
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:21:06 2023,15m,21.4,-8.4
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:21:07 2023,20m,14.0,-6.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:21:08 2023,20m,14.05,-6.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:21:09 2023,20m,14.1,0.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:21:10 2023,20m,14.15,-6.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:21:11 2023,20m,14.2,-6.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:21:12 2023,20m,14.25,-6.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:21:13 2023,20m,14.3,-6.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:21:14 2023,40m,7.0,-6.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:21:15 2023,40m,7.05,-6.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:21:16 2023,80m,3.5,18.0
Sat Feb 25 06:20:25 2023,Sat Feb 25 06:21:17 2023,80m,3.55,20.0
